"Product";"Quantity";"Price";"purchase_cost";"Estimated_sale_price";"Month"
"PayCard";2;300.45;8000.87;9000.56;1
"PayCard";2;800.45;5000.8;8700.56;1
"PayCard";2;500.45;6000.47;7400.56;1
"PayPoints";4;390.87;7000.67;6700.56;2
"SmartPay";5;290.69;5600.77;3200.12;1
"MaxGain";3;0.0;4600.67;3233.11;1
"MaxGain";6;220.39;4690.67;0.0;2
"SuperSave";7;290.3;0.0;3200.13;1
"SuperSave";6;560.3;0.0;4200.13;1
"SuperSave";6;0.0;2600.77;3200.13;2
"SuperSave";9;0.0;5400.71;9200.13;3
"SmartSav";3;250.89;5900.97;0.0;1
"SmartSav";3;250.89;5900.97;8999.34;1
"SmartSav";3;250.89;0.0;5610.82;2
"EasyCash";3;250.89;0.0;5610.82;1
"EasyCash";3;250.89;0.0;5610.82;2
"EasyCash";3;250.89;0.0;5610.82;3
"BusiCard";1;3000.99;0.0;3500.0;3
"BusiCard";1;4000.99;0.0;3500.0;2
